step,epoch,train_loss,val_acc,val_loss,train_acc
3002,10,,,,0.5647382736206055
3049,11,0.9713411927223206,,,
3099,11,1.0938564538955688,,,
3149,11,1.0651214122772217,,,
3199,11,0.9875321984291077,,,
3249,11,1.037083387374878,,,
3275,11,,0.5787781476974487,1.088632583618164,
3275,11,,,,0.5814967751502991
3299,12,1.065183162689209,,,
3349,12,0.8860282897949219,,,
3399,12,1.0722118616104126,,,
3449,12,1.010208010673523,,,
3499,12,0.9973573684692383,,,
3548,12,,0.611851155757904,1.0214025974273682,
3548,12,,,,0.6010100841522217
3549,13,0.7808250188827515,,,
3599,13,0.9046286940574646,,,
3649,13,0.9662978649139404,,,
3699,13,0.8780585527420044,,,
3749,13,0.8993244767189026,,,
3799,13,0.9806652665138245,,,
3821,13,,0.6182820200920105,0.9547743201255798,
3821,13,,,,0.625
3849,14,1.0283538103103638,,,
3899,14,0.9712571501731873,,,
3949,14,0.9845029711723328,,,
3999,14,1.0851036310195923,,,
4049,14,0.8752171993255615,,,
4094,14,,0.6743224859237671,0.8895132541656494,
4094,14,,,,0.6530073285102844
4099,15,1.0806407928466797,,,
4149,15,0.7647764682769775,,,
4199,15,0.7374945282936096,,,
4249,15,0.9118556380271912,,,
4299,15,0.6612952947616577,,,
4349,15,1.0702065229415894,,,
4367,15,,0.7193385362625122,0.82039475440979,
4367,15,,,,0.6993801593780518
4399,16,0.6225073933601379,,,
4449,16,0.8162105083465576,,,
4499,16,0.77718186378479,,,
4549,16,0.8321915864944458,,,
4599,16,0.6330529451370239,,,
4640,16,,0.7790537476539612,0.7556930780410767,
4640,16,,,,0.7638888955116272
4649,17,0.7207763195037842,,,
4699,17,0.7820825576782227,,,
4749,17,0.576724112033844,,,
4799,17,0.8226265907287598,,,
4849,17,0.6162265539169312,,,
4899,17,0.9455509185791016,,,
4913,17,,0.8203950524330139,0.6972571611404419,
4913,17,,,,0.8041781187057495
4949,18,0.5528372526168823,,,
4999,18,0.5229602456092834,,,
5049,18,0.7102805972099304,,,
5099,18,0.7864975929260254,,,
5149,18,0.5697765350341797,,,
5186,18,,0.8254478573799133,0.646153450012207,
5186,18,,,,0.8296602368354797
5199,19,0.6068271398544312,,,
5249,19,0.6053081154823303,,,
5299,19,0.6878818869590759,,,
5349,19,0.8746297955513,,,
5399,19,0.49814867973327637,,,
5449,19,0.5980567932128906,,,
5459,19,,0.8429030776023865,0.5991426110267639,
5459,19,,,,0.8446969985961914
5499,20,0.5041887760162354,,,
5549,20,0.5599358081817627,,,
5599,20,0.54530930519104,,,
5649,20,0.6739139556884766,,,
5699,20,0.3543153703212738,,,
5732,20,,0.851630687713623,0.5538011789321899,
5732,20,,,,0.85537189245224
5749,21,0.5383496284484863,,,
5799,21,0.4929428994655609,,,
5849,21,0.5462236404418945,,,
5899,21,0.47302570939064026,,,
5949,21,0.3945772349834442,,,
5999,21,0.44940775632858276,,,
6005,21,,0.8493339419364929,0.5212821960449219,
6005,21,,,,0.8648989796638489
6049,22,0.7047590017318726,,,
6099,22,0.6326278448104858,,,
6149,22,0.4185847043991089,,,
6199,22,0.4948241412639618,,,
6249,22,0.6799468994140625,,,
6278,22,,0.8631143569946289,0.48796579241752625,
6278,22,,,,0.8706381916999817
6299,23,0.48844239115715027,,,
6349,23,0.3639523386955261,,,
6399,23,0.42488786578178406,,,
6449,23,0.5496979355812073,,,
6499,23,0.4690718352794647,,,
6549,23,0.625258207321167,,,
6551,23,,0.8681672215461731,0.4629412591457367,
6551,23,,,,0.8729338645935059
6599,24,0.4085626006126404,,,
6649,24,0.4188528060913086,,,
6699,24,0.4086083173751831,,,
6749,24,0.5132597088813782,,,
6799,24,0.371380478143692,,,
6824,24,,0.8663297891616821,0.4439835846424103,
6824,24,,,,0.8764922022819519
6849,25,0.4471101760864258,,,
6899,25,0.44155019521713257,,,
6949,25,0.2838909924030304,,,
6999,25,0.3443107604980469,,,
